,0
1017,1270
1018,1271
1019,1272
1020,1273
1021,1274
1022,1275
1023,1276
1024,1277
1025,1278
1026,1279
1027,1280
1028,1281
1029,1283
1030,1284
1031,1285
1032,1286
1033,1287
1034,1288
1035,1289
1036,1291
1037,1292
1038,1294
1039,1295
1040,1296
1041,1297
1042,1298
1043,1299
1044,1300
1045,1301
1046,1302
1047,1303
1048,1305
1049,1306
1050,1307
1051,1308
1052,1309
1053,1310
1054,1311
1055,1312
1056,1313
1057,1314
1058,1315
1059,1316
1060,1317
1061,1318
1062,1319
1063,1320
1064,1323
1065,1324
1066,1325
1067,1326
1068,1327
1069,1329
1070,1330
1071,1331
1072,1332
1073,1334
1074,1335
1075,1336
1076,1337
1077,1338
1078,1339
1079,1340
1080,1341
1081,1343
1082,1345
1083,1346
1084,1347
1085,1348
1086,1350
1087,1351
1088,1352
1089,1353
1090,1354
1091,1355
1092,1356
1093,1357
1094,1358
1095,1359
1096,1360
1097,1361
1098,1362
1099,1364
1100,1366
1101,1367
1102,1368
1103,1369
1104,1370
1105,1371
1106,1372
1107,1373
1108,1374
1109,1376
1110,1379
1111,1380
1112,1381
1113,1382
1114,1383
1115,1384
1116,1385
1117,1386
1118,1387
1119,1388
1120,1389
1121,1390
1122,1391
1123,1392
1124,1393
1125,1394
1126,1395
1127,1396
1128,1397
1129,1398
1130,1399
1131,1400
1132,1401
1133,1402
1134,1404
1135,1405
1136,1406
1137,1407
1138,1408
1139,1409
1140,1410
1141,1411
1142,1413
1143,1414
1144,1415
1145,1416
1146,1417
1147,1418
1148,1419
1149,1420
1150,1421
1151,1422
1152,1423
1153,1424
1154,1425
1155,1426
1156,1428
1157,1429
1158,1430
1159,1432
1160,1434
1161,1435
1162,1436
1163,1438
1164,1439
1165,1440
1166,1442
1167,1443
1168,1444
1169,1445
1170,1446
1171,1447
1172,1448
1173,1449
1174,1451
1175,1452
1176,1454
1177,1455
1178,1456
1179,1457
1180,1458
1181,1461
1182,1462
1183,1463
1184,1464
1185,1465
1186,1466
1187,1467
1188,1468
1189,1469
1190,1470
1191,1471
1192,1472
1193,1473
1194,1474
1195,1476
1196,1478
1197,1480
1198,1481
1199,1483
1200,1485
1201,1487
1202,1488
1203,1489
1204,1490
1205,1493
1206,1494
1207,1495
1208,1496
1209,1497
1210,1498
1211,1499
1212,1500
1213,1501
1214,1502
1215,1503
1216,1504
1217,1505
1218,1506
1219,1507
1220,1509
1221,1511
1222,1512
1223,1513
1224,1514
1225,1515
1226,1516
1227,1517
1228,1518
1229,1520
1230,1522
1231,1523
1232,1524
1233,1525
1234,1526
1235,1527
1236,1528
1237,1530
1238,1531
1239,1532
1240,1533
1241,1534
1242,1535
1243,1536
1244,1537
1245,1538
1246,1539
1247,1540
1248,1541
1249,1543
1250,1545
1251,1546
1252,1547
1253,1548
1254,1549
1255,1550
1256,1551
1257,1552
1258,1553
1259,1554
1260,1555
1261,1556
1262,1557
1263,1558
1264,1559
1265,1561
1266,1562
1267,1563
1268,1565
1269,1567
1270,1569
1271,1570
1272,1571
1273,1572
1274,1573
1275,1574
1276,1575
1277,1577
1278,1578
1279,1579
1280,1580
1281,1581
1282,1582
1283,1583
1284,1584
1285,1585
1286,1586
1287,1587
1288,1588
1289,1589
1290,1590
1291,1591
1292,1592
1293,1593
1294,1594
1295,1596
1296,1597
1297,1598
1298,1600
1299,1601
1300,1602
1301,1603
1302,1604
1303,1605
1304,1606
1305,1607
1306,1608
1307,1609
1308,1610
1309,1611
1310,1612
1311,1613
1312,1614
1313,1616
1314,1617
1315,1618
1316,1620
1317,1621
1318,1623
1319,1624
1320,1626
1321,1627
1322,1628
1323,1629
1324,1630
1325,1631
1326,1632
1327,1633
1328,1635
1329,1636
1330,1638
1331,1641
1332,1642
1333,1643
1334,1644
1335,1646
1336,1647
1337,1649
1338,1650
1339,1651
1340,1652
1341,1653
1342,1654
1343,1655
1344,1656
1345,1657
1346,1658
1347,1659
1348,1660
1349,1661
1350,1662
1351,1663
1352,1664
1353,1665
1354,1666
1355,1667
1356,1668
1357,1669
1358,1670
1359,1671
1360,1672
1361,1673
1362,1675
1363,1676
1364,1677
1365,1678
1366,1679
1367,1681
1368,1682
1369,1683
1370,1685
1371,1686
1372,1687
1373,1688
1374,1690
1375,1691
1376,1693
1377,1694
1378,1695
1379,1696
1380,1697
1381,1698
1382,1699
1383,1700
1384,1701
1385,1702
1386,1703
1387,1704
1388,1706
1389,1707
1390,1708
1391,1709
1392,1710
1393,1711
1394,1712
1395,1713
1396,1714
1397,1715
1398,1716
1399,1717
1400,1718
1401,1719
1402,1720
1403,1722
1404,1723
1405,1724
1406,1725
1407,1726
1408,1727
1409,1730
1410,1733
1411,1734
1412,1735
1413,1737
1414,1739
1415,1740
1416,1741
1417,1742
1418,1743
1419,1744
1420,1745
1421,1746
1422,1747
1423,1748
1424,1750
1425,1751
1426,1752
1427,1753
1428,1754
1429,1755
1430,1756
1431,1757
1432,1758
1433,1759
1434,1760
1435,1761
1436,1762
1437,1764
1438,1765
1439,1766
1440,1767
1441,1768
1442,1769
1443,1771
1444,1772
1445,1773
1446,1774
1447,1775
1448,1776
1449,1777
1450,1778
1451,1779
1452,1780
1453,1782
1454,1784
1455,1785
1456,1787
1457,1789
1458,1790
1459,1791
1460,1792
1461,1793
1462,1794
1463,1795
1464,1796
1465,1797
1466,1798
1467,1799
1468,1800
1469,1801
1470,1802
1471,1803
1472,1804
1473,1805
1474,1806
1475,1808
1476,1809
1477,1812
1478,1813
1479,1814
1480,1815
1481,1817
1482,1818
1483,1820
1484,1821
1485,1822
1486,1824
1487,1827
1488,1828
1489,1829
1490,1831
1491,1833
1492,1834
1493,1835
1494,1836
1495,1837
1496,1838
1497,1839
1498,1840
1499,1842
1500,1843
1501,1844
1502,1845
1503,1846
1504,1847
1505,1848
1506,1849
1507,1850
1508,1851
1509,1852
1510,1855
1511,1856
1512,1857
1513,1858
1514,1859
1515,1860
1516,1862
1517,1863
1518,1864
1519,1865
1520,1866
1521,1867
1522,1868
1523,1869
1524,1870
1525,1874
1526,1875
1527,1876
1528,1877
1529,1878
1530,1881
1531,1882
1532,1883
1533,1884
1534,1885
1535,1886
1536,1887
1537,1890
1538,1891
1539,1892
1540,1893
1541,1896
1542,1897
1543,1898
1544,1899
1545,1900
1546,1901
1547,1902
1548,1904
1549,1905
1550,1906
1551,1907
1552,1908
1553,1909
1554,1910
1555,1911
1556,1913
1557,1914
1558,1915
1559,1916
1560,1918
1561,1919
1562,1920
1563,1921
1564,1923
1565,1924
1566,1925
1567,1927
1568,1928
1569,1929
1570,1930
1571,1931
1572,1932
1573,1933
1574,1934
1575,1935
1576,1936
1577,1937
1578,1938
1579,1939
1580,1940
1581,1941
1582,1942
1583,1943
1584,1946
1585,1947
1586,1948
1587,1949
1588,1951
1589,1953
1590,1954
1591,1955
1592,1956
1593,1957
1594,1958
1595,1960
1596,1961
1597,1962
1598,1963
1599,1964
1600,1966
1601,1968
1602,1969
1603,1970
1604,1972
1605,1974
1606,1977
1607,1978
1608,1979
1609,1980
1610,1981
1611,1982
1612,1983
1613,1984
1614,1985
1615,1986
1616,1987
1617,1988
1618,1989
1619,1990
1620,1991
1621,1993
1622,1994
1623,1995
1624,1996
1625,1997
1626,1998
1627,1999
1628,2000
1629,2001
1630,2002
1631,2004
1632,2005
1633,2009
1634,2010
1635,2011
1636,2012
1637,2013
1638,2014
1639,2015
1640,2016
1641,2019
1642,2020
1643,2021
1644,2022
1645,2023
1646,2024
1647,2025
1648,2026
1649,2027
1650,2028
1651,2030
1652,2031
1653,2032
1654,2033
1655,2034
1656,2035
1657,2036
1658,2037
1659,2038
1660,2040
1661,2042
1662,2043
1663,2044
1664,2045
1665,2046
1666,2047
1667,2049
1668,2050
1669,2051
1670,2052
1671,2053
1672,2054
1673,2055
1674,2056
1675,2057
1676,2058
1677,2059
1678,2060
1679,2061
1680,2062
1681,2064
1682,2065
1683,2066
1684,2067
1685,2068
1686,2069
1687,2070
1688,2071
1689,2072
1690,2073
1691,2074
1692,2075
1693,2077
1694,2078
1695,2079
1696,2080
1697,2081
1698,2082
1699,2083
1700,2085
1701,2086
1702,2088
1703,2089
1704,2090
1705,2095
1706,2096
1707,2097
1708,2098
1709,2099
1710,2101
1711,2102
1712,2103
1713,2104
1714,2105
1715,2107
1716,2108
1717,2109
1718,2110
1719,2112
1720,2113
1721,2114
1722,2115
1723,2117
1724,2118
1725,2119
1726,2120
1727,2121
1728,2122
1729,2123
1730,2124
1731,2125
1732,2126
1733,2127
1734,2128
1735,2129
1736,2130
1737,2131
1738,2133
1739,2134
1740,2135
1741,2136
1742,2137
1743,2138
1744,2139
1745,2140
1746,2141
1747,2143
1748,2144
1749,2145
1750,2146
1751,2148
1752,2150
1753,2151
1754,2152
1755,2153
1756,2154
1757,2155
1758,2156
1759,2157
1760,2158
1761,2159
1762,2160
1763,2161
1764,2162
1765,2164
1766,2165
1767,2166
1768,2167
1769,2168
1770,2169
1771,2171
1772,2173
1773,2174
1774,2175
1775,2178
1776,2179
1777,2180
1778,2181
1779,2182
1780,2183
1781,2184
1782,2185
1783,2186
1784,2187
1785,2188
1786,2189
1787,2190
1788,2192
1789,2193
1790,2194
1791,2195
1792,2196
1793,2197
1794,2198
1795,2199
1796,2200
1797,2202
1798,2203
1799,2204
1800,2205
1801,2206
1802,2207
1803,2208
1804,2209
1805,2210
1806,2211
1807,2214
1808,2215
1809,2216
1810,2217
1811,2219
1812,2220
1813,2222
1814,2223
1815,2224
1816,2226
1817,2227
1818,2228
1819,2229
1820,2230
1821,2231
1822,2232
1823,2233
1824,2235
1825,2236
1826,2237
1827,2238
1828,2239
1829,2240
1830,2241
1831,2243
1832,2244
1833,2245
1834,2246
1835,2249
1836,2252
1837,2253
1838,2254
1839,2255
1840,2258
1841,2259
1842,2260
1843,2261
1844,2262
1845,2264
1846,2266
1847,2268
1848,2270
1849,2271
1850,2272
1851,2274
1852,2276
1853,2277
1854,2278
1855,2279
1856,2280
1857,2281
1858,2283
1859,2284
1860,2285
1861,2286
1862,2287
1863,2288
1864,2289
1865,2290
1866,2291
1867,2292
1868,2294
1869,2296
1870,2297
1871,2298
1872,2299
1873,2300
1874,2301
1875,2303
1876,2304
1877,2305
1878,2306
1879,2307
1880,2310
1881,2311
1882,2312
1883,2313
1884,2314
1885,2316
1886,2317
1887,2318
1888,2319
1889,2320
1890,2322
1891,2323
1892,2324
1893,2326
1894,2327
1895,2328
1896,2329
1897,2330
1898,2331
1899,2332
1900,2333
1901,2334
1902,2335
1903,2336
1904,2337
1905,2338
1906,2340
1907,2341
1908,2342
1909,2343
1910,2345
1911,2346
1912,2347
1913,2348
1914,2349
1915,2351
1916,2352
1917,2353
1918,2354
1919,2355
1920,2356
1921,2357
1922,2358
1923,2359
1924,2360
1925,2362
1926,2363
1927,2364
1928,2366
1929,2368
1930,2369
1931,2370
1932,2371
1933,2372
1934,2373
1935,2374
1936,2375
1937,2376
1938,2377
1939,2378
1940,2379
1941,2380
1942,2381
1943,2382
1944,2383
1945,2384
1946,2386
1947,2387
1948,2388
1949,2389
1950,2391
1951,2393
1952,2394
1953,2396
1954,2397
1955,2398
1956,2399
1957,2400
1958,2403
1959,2404
1960,2405
1961,2406
1962,2407
1963,2409
1964,2410
1965,2412
1966,2414
1967,2415
1968,2417
1969,2419
1970,2421
1971,2423
1972,2424
1973,2425
1974,2427
1975,2429
1976,2430
1977,2431
1978,2432
1979,2434
1980,2435
1981,2437
1982,2438
1983,2439
1984,2441
1985,2442
1986,2443
1987,2444
1988,2445
1989,2446
1990,2447
1991,2448
1992,2450
1993,2451
1994,2452
1995,2453
1996,2455
1997,2456
1998,2458
1999,2459
2000,2461
2001,2462
2002,2463
2003,2464
2004,2465
2005,2466
2006,2467
2007,2468
2008,2469
2009,2470
2010,2471
2011,2472
2012,2475
2013,2476
2014,2478
2015,2479
2016,2480
